problem,dimension,cooling schedule,tabu length,parameters,min,max,mean,std
ackley,2,constant,5,1,126.0,2941.0,837.15,807.5741622290797
ackley,2,logarithmic,10,10,242.0,2363.0,1061.15,669.7008492603246
ackley,2,geometric,10,"(1, 0.98)",497.0,5933.0,2400.15,1503.2664193349094
ackley,2,adaptive,5,"(1, 1.0, 0.01)",131.0,10000.0,2051.5,2790.7508935768524
ackley,5,constant,5,1,2298.0,10000.0,8100.9,2663.517109012067
ackley,5,logarithmic,5,10,3397.0,10000.0,8324.8,2368.8917366566166
ackley,5,geometric,0,"(0.1, 0.9)",10000.0,10000.0,10000.0,0.0
ackley,5,adaptive,5,"(10000, 1.0, 0.02)",3288.0,10000.0,9345.4,1964.5014736568662
ackley,10,constant,0,0.1,10000.0,10000.0,10000.0,0.0
ackley,10,logarithmic,5,1,9018.0,10000.0,9950.9,214.02193812784708
ackley,10,geometric,0,"(0.1, 0.9)",10000.0,10000.0,10000.0,0.0
ackley,10,adaptive,0,"(0.1, 0.5, 0.01)",10000.0,10000.0,10000.0,0.0
griewank,2,constant,10,0.1,359.0,781.0,568.65,120.38076050598784
griewank,2,logarithmic,10,1,223.0,1223.0,574.5,271.11040186610325
griewank,2,geometric,10,"(10, 0.99)",328.0,1277.0,731.6,298.41253324885673
griewank,2,adaptive,5,"(10, 1.5, 0.01)",417.0,1490.0,916.45,358.43025472189146
griewank,5,constant,10,0.1,752.0,10000.0,5173.4,2994.0615457936065
griewank,5,logarithmic,10,1,1178.0,10000.0,4188.75,2975.46535646107
griewank,5,geometric,10,"(1, 0.96)",1587.0,10000.0,9579.35,1833.5708406003844
griewank,5,adaptive,10,"(1, 1.0, 0.04)",1587.0,10000.0,9579.35,1833.5708406003844
griewank,10,constant,0,0.1,4664.0,10000.0,9720.6,1161.3593931251428
griewank,10,logarithmic,5,0.1,1148.0,10000.0,9117.65,2647.065342506679
griewank,10,geometric,5,"(1000, 0.92)",1108.0,10000.0,8233.05,3534.01682897804
griewank,10,adaptive,5,"(10, 2.0, 0.05)",1075.0,10000.0,7463.6,3897.566656261314
rastrigin,2,constant,10,10,314.0,10000.0,4875.65,3171.590394029469
rastrigin,2,logarithmic,5,100,543.0,10000.0,6555.55,3523.181197085952
rastrigin,2,geometric,5,"(1000, 0.99)",305.0,10000.0,9038.4,2884.908168382488
rastrigin,2,adaptive,5,"(100, 0.5, 0.05)",642.0,10000.0,5994.95,3668.9092721815837
rastrigin,5,constant,0,0.1,10000.0,10000.0,10000.0,0.0
rastrigin,5,logarithmic,0,0.1,10000.0,10000.0,10000.0,0.0
rastrigin,5,geometric,0,"(0.1, 0.9)",10000.0,10000.0,10000.0,0.0
rastrigin,5,adaptive,0,"(0.1, 0.5, 0.01)",10000.0,10000.0,10000.0,0.0
rastrigin,10,constant,0,0.1,10000.0,10000.0,10000.0,0.0
rastrigin,10,logarithmic,0,0.1,10000.0,10000.0,10000.0,0.0
rastrigin,10,geometric,0,"(0.1, 0.9)",10000.0,10000.0,10000.0,0.0
rastrigin,10,adaptive,0,"(0.1, 0.5, 0.01)",10000.0,10000.0,10000.0,0.0
